offer_amount,decision_time_s,mean_hr,hr_std,rmssd,sdnn,pnn50,mean_gsr,max_gsr,gsr_std,mean_eeg_af7,mean_eeg_af8,participant_id,label
0.43911848728894254,-0.0010038095422714832,0.030153568129344423,4.3819436905323526e-05,0.001968035739264451,0.02256562943712197,0.0032069448459878915,0.002666359421618836,0.001650681447245006,-0.0043284408276576865,0.004360549002194602,-0.006103281756395518,P001,1
-0.1699450350824918,-0.0011301685644866666,-0.007181079684050929,-0.020418151679314177,-0.013060474782650999,-0.021345476179521938,-0.008300719231738186,-0.004460960259530111,-0.007149787007620034,-0.00809977651861118,-0.008094168004754465,-0.010641148071499629,P001,0
-0.1739357121365174,-0.009831325760023902,-0.007365904959897307,-0.013475486042261764,-0.014706978204958431,-0.0155554770366507,-0.007213790303740098,-0.0039633584288822025,-0.0064704607084422605,0.011098194514670468,-0.003250583190310863,0.005887843052914832,P001,0
-0.09715395235725736,-0.01142142569688076,-0.013139770212183067,-0.013453598003434309,-0.010046551848608943,-0.012963233076152391,-0.008952046108788636,-0.0011245005209275405,-0.010158476699871244,0.004254496357407334,0.006602432812906045,-0.007387279792692425,P001,0
-0.18782338572218577,-0.012074122784997598,-0.004923062599027616,-0.008589748479607806,-0.00554423079429398,0.003790196195950557,-0.005790892402274039,-0.003452514309719845,-0.005852284325374058,-0.010066747410837707,0.008056452443452145,-0.0014548365486916736,P001,0
-0.16961200762943918,-0.012527053251596953,-0.011014614457963035,-0.01508831744431518,-0.014880520938004339,-0.015766587857433477,-0.009831668341212208,-0.003786237291933503,-0.004728841523683513,-0.009087771372014686,-0.01348929107116419,0.010255128310654981,P001,0
-0.1719347245812969,-0.014256441226098104,-0.011069962416149793,-0.02005371662462494,-0.014524130912104739,-0.017973278685531113,-0.007602972402310115,-0.003931105170522642,-0.004257881427110988,-0.006776534010714386,-0.002210470731006353,-0.007315599085086433,P001,0
0.4140034260050015,0.0016135264224431012,0.008152666022442644,-0.005774007456057007,0.0026947312779157075,0.020821520456229335,0.0030084614254519693,0.005053322805997596,0.001894744262790482,0.020361033742119616,0.023814764878170535,0.010740374064744174,P001,1
-0.09170828096102923,0.023506993613682425,-0.006047447299351916,-0.015411744900484336,-0.011278469138596847,0.010827921941017848,-0.004981690197564603,0.0036799514235099197,-0.007491621286499139,0.014607679004984674,-0.006197687249732553,-0.012963970880809939,P001,0
0.42680237439599295,0.0011085831514719758,0.009856954929682615,-0.0026541731003817404,-0.005166845336225379,0.01768172710599174,0.013458595308293297,0.003502095661860949,0.00349937180226334,0.013083113507536836,0.001994786040722829,0.053325559726408754,P001,1
-0.16833596931737702,-0.0010579610438981035,-0.004605225983686978,-0.013011697825641022,-0.015628743202523766,-0.01592721294000512,-0.006546173265087418,-0.003132473589721485,-0.007123538153973641,0.004334606999964308,-0.0170169091259595,0.0012651352996726928,P001,0
-0.17672826582038398,0.005051735724464379,-0.006163836585892568,-0.010937396609551796,-0.017039593126173713,-0.01315140179995069,-0.0118243125582012,-0.004946072951133829,-0.007738824485932128,0.007766419058589236,-0.0015806322806383832,-0.0002217267930973321,P001,0
-0.1691535983596623,-0.003914281448942347,-0.011696022994783561,-0.012395345271579572,-0.014661937805340131,-0.022400543256662787,-0.008358738461993198,-0.006098628494328295,-0.008728165617321792,0.008697718001076282,-0.0015967698896929504,-0.00869590122183581,P001,0
-0.10609277805524471,-0.0016639824713820417,-0.01134678346434157,-0.01291791909679887,-0.009876241324855073,-0.01534068911569193,-0.007469936885809147,-0.004324027378606843,-0.007704093544452917,-0.015001572055189172,0.002237107519431447,0.0026525834764470346,P001,0
0.423994530363052,-0.0006743647452822187,0.0035575584585330945,0.027216856848463068,0.005566033100967616,0.031535158880069504,0.0194582773023285,0.004769448545994237,0.0017039721500623274,0.01777447141430457,0.00236464288782372,-0.004960967678243833,P001,1
-0.09702783265020117,0.010986342632986635,-0.011244418701608083,0.02342114566872624,-0.018358066544624307,-0.027040271410260174,-0.018533333598861647,-0.002799304303334793,-0.00879205881828966,-0.016338865999568953,0.00043017845855501945,-0.003869010016478569,P001,0
-0.17818833636210912,0.02045692880974457,-0.00505562353946516,-0.010738559167293715,-0.014637542793025204,0.001724572592684126,-0.007565302786315442,-0.004348628308980551,-0.005572323781234445,-0.01059237447598207,-0.0035080602172456567,-0.01055962214968531,P001,0
-0.11013081565579341,-0.0005478115520418214,-0.012046081256085018,-0.028642668159409367,-0.01342684553228537,-0.02520763554457517,-0.019197493996489356,-0.007631367893282004,-0.010118149368463492,-0.010297855609860563,-0.012410154318968126,-0.011264350116471178,P001,0
-0.1660006023668757,0.004184761681517557,-0.014109104727867815,-0.022758133939896653,-0.012793334161960957,-0.010657477963832207,-0.01964443572487653,-0.005785397620547883,-0.006947759258218866,-0.010594281324938493,-0.005133713245959371,-0.011699544485873048,P001,0
-0.16827708105756756,-0.002620405115703761,-0.007597231298768747,-0.019452502486910817,-0.004994982079824695,-0.01731976515857241,-0.010748676771709143,-0.0026631616909071456,-0.002851125218330708,-0.009941169095873193,-0.006223857540317112,0.010941431922128686,P001,0
-0.11526997625187504,-0.010295607612806634,-0.010299430137456511,-0.023124204720261332,-0.007282717663383664,-0.020250376103467714,-0.015978775276471423,-0.004660334651271114,-0.004384855852185865,-0.008801647790642164,-0.007788193606756977,0.0005005177066777833,P001,0
-0.168817905114156,-0.00718683662262265,-0.0037638152415638616,-0.013018427813221933,-0.01302903844980392,-0.018287500105816434,-0.00199958969542422,-0.005863166606650339,-0.007744865064159967,0.009031310457066866,0.00014175958476698726,0.006253772744275921,P001,0
0.4245870954477141,0.002764205819039489,0.0022612307376675745,-0.003243632541853003,-0.00696906480116013,-0.005782649541288265,-0.0023581264632412057,0.0014323689427328645,0.0032662126915965926,-0.000737158659421766,0.004597600005217828,0.010753297661767646,P001,1
0.4189339483316871,0.012800467396664317,0.039404914997840025,-0.005624105886818142,0.01580599205844919,-0.0005375890422328666,-0.008071188347366842,0.0006380163848916709,-0.0002832339562701236,0.004719141648820369,0.005426930364137661,0.017797473232212722,P001,1
-0.06857737161335535,-0.03465123174846667,-0.008878415991875954,0.017061705901869572,0.023668619163345284,0.023124908243062237,0.013634814467604884,-0.018430295307371124,-0.03273190792551759,-0.02298053888298455,-0.020347276829943438,0.003854898479767144,P003,0
0.40499774585587145,0.0011705854193678534,0.004666593258298235,0.02239911997476156,0.002815994507363939,0.025197404788195855,0.013689724886080511,-0.008914803049265174,-0.012207378268158209,-0.003299874548929438,0.002785172759104171,0.004134258572685212,P003,1
-0.18433675159158155,-0.019907767151107692,-0.005891061290776633,0.01928773127729073,-0.012284219886169012,-0.007424737988412744,0.008850067644107184,-0.003552450495590165,-0.024662644795353118,-0.012255677200619175,-0.0029648801179973814,-0.0020151031160366983,P003,0
-0.07410164867651474,-0.018355732483541942,-0.006744675666641342,0.026064120280534554,0.009578381669598457,0.0017224578587956784,0.013806358504916716,-0.02082904329727171,-0.03305283390436671,-0.026998700330341307,-0.018676925889121777,-0.014656545737716442,P003,0
-0.1901387218051241,-0.015469240820220876,-0.0017048332828380809,0.01706922916982876,0.03894733368897505,0.010102107295097085,0.010386998945432425,-0.018290188789978856,-0.028650763954829017,-0.021033822521985712,-0.006036321482770291,0.0013483327042195016,P003,0
-0.18596592245830834,-0.02540782595106066,-0.007013751866998064,0.017723146788375742,-0.0008901523351596552,-0.00121292794119654,0.0122365761673791,0.0009140036308963317,-0.02864343261189788,0.02507012204669081,-0.002734214136671653,-0.009541620909567427,P003,0
-0.18664438903924746,-0.018474693282951194,-0.0028782287979538523,0.04167764465873915,-0.012026483709632885,-6.849101519037503e-05,0.0132475016054741,-0.007520359685076983,-0.025356480623304378,0.02258336701152075,-0.00473124155350888,0.004666187318116499,P003,0
0.37044140342804893,-8.83806353158434e-05,0.01942382637535047,0.02701248191715422,0.033841363889860074,0.04788530775203981,0.017389253108740378,0.011834183026439859,0.0050718739509648,0.028960991928579462,0.0022542454255017217,-0.0004958196569532447,P003,1
-0.1860310841782848,0.029518004234887485,0.0032793963544463624,0.016717474571851198,0.00828133668674127,0.014197332204548729,0.014193923052607716,-0.01238200893285466,-0.003654806847043801,-0.01690219486836213,-0.004625171823863639,-0.003124065593328851,P003,0
-0.027267222476075402,-0.012836485380466911,0.03722324492814551,0.05278853614745458,0.05755493411197676,0.05061923273915454,0.023838574772707944,0.012602253113072948,0.008518365643612923,0.022707768497411962,0.004220742008783418,0.012425540432241177,P003,1
-0.17838168133021098,-0.011955061576827575,0.018953265828440636,-0.018875665686300634,-0.008172897127133183,-0.014650251918192225,-0.003967357483361411,-0.00592209630049183,-0.003429428617164376,-0.014037007461593021,-0.012605674690166779,-0.0011640915607131319,P003,0
0.4172143104868155,0.01373552124168782,0.04113361713502854,-0.0020342739966508817,0.027694279719344194,0.004870812054377893,0.0076624547136816545,0.00016618372956145322,0.0006730409418196359,0.010653644742933465,0.008029544518376498,0.021390194733203315,P003,1
-0.19238940683771943,-0.01888698755246878,0.02074277441488448,-0.012901575615796902,0.0060678503858071055,0.021971693857085483,0.017883586988136812,-0.003559096507160575,-0.0018381871278506877,-0.01426771690375972,-0.012518667291624297,-0.010074095355230383,P003,0
-0.186779859107628,-0.0032722485815611436,0.018779294347586982,0.029597430856483697,-0.014810989519082796,-0.008199784594989979,0.01378411261302972,0.0039128670030549985,-0.001420958542075823,-0.024623174990983897,-0.0013950603225566737,-0.0007922970388790418,P003,0
0.40796172696645955,-0.0045357114597209145,0.02947616267770172,0.03819216716710798,0.021264041606355023,0.03263194596097492,0.017644676117379278,0.007908667666379187,0.007267391017467162,-0.007033344074034176,0.0025052419547137105,0.010028165294852443,P003,1
-0.0054822511225211205,0.05753630770050222,0.06140171202096099,0.03382001969366684,0.09075983178372553,0.07764200131496182,0.0364476222972371,0.014085079511824005,0.011366117035322532,0.04584334238297742,-0.0010259593455884896,0.017995273950782577,P003,1
0.35483487641504324,0.013444882511976175,0.03871636966832739,0.021573705351875104,0.02766305683362589,0.05007250191360981,0.019351603785798942,0.010166057142123463,0.0073511872777089595,0.015893036975012365,0.00633879276283551,0.010836130292682355,P003,1
-0.016117755585219128,0.022256912080410984,0.04536898523174386,0.047760243154152705,0.06004161398641372,0.07696539414610015,0.03448540168628824,0.018506470732972957,0.005140581602790917,0.05028442831080611,0.003619470217017806,0.007004607382168615,P003,1
-0.0025022697893291477,0.05852382407392724,0.06319337857676147,0.04278948861283425,0.08651051164933961,0.07074103931736317,0.03520090978981898,0.013157993146160151,0.006651804065404577,0.04270530128032988,0.005775301344237959,0.01332518042954689,P003,1
-0.19928494401192437,-0.012613605778733472,0.019736006644416194,-0.011698567395251302,0.006247527704726963,0.02731817763815343,0.018546146554399456,0.006374869234423386,0.0015252757006237517,0.014932806355318462,-0.0034925539195683085,-0.0014838379657703626,P003,0
-0.19088334374828264,0.01066615055933653,0.00696512977601742,0.023715964576877014,-0.019775236775694795,-0.0038191627043488554,0.014215657757267764,0.006185253355579334,-0.0005888337314900127,-0.0181758524057841,-0.0028275254738218793,-0.0007273843541952373,P003,0
0.37521114518858667,-0.0021741986472989085,0.031537182157217104,0.035407981319985994,0.02984109175276899,0.04820333874540665,0.017351647186478657,0.011399352036096388,0.003494832464002684,0.028782025715736383,0.0061664039270908685,0.008458291631586689,P003,1
-0.1975102040652928,-0.028134793008666746,-0.0007729243271569431,0.01314493499467062,0.004526400348549941,0.029840574298577848,0.011761810672578577,-0.00020460493851715,-0.0028265866414585615,-0.018852982252337825,-0.0037732828684056583,-0.0005651117966408492,P003,0
