file_name,file_path,label,treatment,zcr,rms,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
DMJD_bano_02.wav,./processed_dataset\train\DMJD_bano_02.wav,bano,train,0.21604480962643677,0.024335189,-432.76013,26.299856,-4.1656537,-0.5726248,0.08243843,-10.607327,-13.102597,-10.23373,-4.9927387,-4.9813013,-3.947625,-1.5278546,-4.1843314
DMJD_bano_03.wav,./processed_dataset\train\DMJD_bano_03.wav,bano,train,0.23819481860632183,0.019684143,-406.17017,24.086752,-10.498039,1.0652088,-2.1357834,-3.3718264,-7.6318135,-10.248478,-2.809221,-1.5592644,1.0951229,1.8673784,-2.5765288
DMJD_cocina_01.wav,./processed_dataset\train\DMJD_cocina_01.wav,cocina,train,0.2110430136494253,0.0038267253,-592.8124,14.805522,-2.806623,9.960917,3.8395114,3.6939216,4.531489,3.1112328,0.35930339,4.143592,-2.6142704,-1.446656,-1.2303983
DMJD_cocina_02.wav,./processed_dataset\train\DMJD_cocina_02.wav,cocina,train,0.1565227640086207,0.012722432,-491.3845,8.755545,2.0250638,4.1314383,3.6223063,1.9217942,-1.5739446,1.0246463,1.2810981,-1.605014,-2.5700524,-2.1145825,-3.9706845
DMJD_cocina_03.wav,./processed_dataset\train\DMJD_cocina_03.wav,cocina,train,0.17279094827586206,0.008298724,-530.9786,27.525501,-10.324439,2.9520614,0.9206312,2.660383,-1.0554512,-3.873545,-4.28819,-1.0161258,-1.2265204,1.5350848,-1.0271405
DMJD_nula_01.wav,./processed_dataset\train\DMJD_nula_01.wav,nula,train,0.15106860632183908,0.029215379,-409.89777,61.100754,18.7758,16.393997,11.563838,12.553985,8.238667,-0.47361758,-0.032242697,0.15323205,-2.7185788,-2.1737926,-6.6702766
DMJD_nula_02.wav,./processed_dataset\train\DMJD_nula_02.wav,nula,train,0.17212082435344828,0.054409936,-329.7151,62.278275,22.487026,6.889564,8.469662,10.63517,9.153154,1.1986309,2.8138661,0.38660783,-0.27699298,2.5428975,-2.8992107
DMJD_nula_03.wav,./processed_dataset\train\DMJD_nula_03.wav,nula,train,0.34558750897988505,0.0147482585,-483.9193,26.976131,19.248165,9.99658,9.506628,4.1374154,5.422998,3.7677975,2.0442114,2.662636,2.9078987,1.6739247,-0.43621734
DMJD_oficina_01.wav,./processed_dataset\train\DMJD_oficina_01.wav,oficina,train,0.34230872844827587,0.03073877,-383.84003,39.540276,12.525581,-11.302123,4.4670315,-8.477333,-5.1523886,-3.0807364,-0.47163928,-2.6980095,-7.59199,-6.707256,-4.060567
DMJD_oficina_02.wav,./processed_dataset\train\DMJD_oficina_02.wav,oficina,train,0.26461027298850576,0.041818924,-358.755,39.235916,8.962658,-19.132593,-8.606522,-11.622948,-0.4772983,3.9534535,0.4737469,-3.522204,-14.363638,-3.2690494,-0.12152535
