student_id,sample_number,sensor_name,timestamp,is_exito,acc_x_filtered,acc_y_filtered,acc_z_filtered,gyro_x_filtered,gyro_y_filtered,gyro_z_filtered,quat_w,quat_x,quat_y,quat_z
Edgar,1,Antebrazo,0.0,0,0.7114128177861216,0.44535969397944364,-0.43884770248297295,-4.197560212596853,-25.960860145806976,37.27645938762889,0.99357092,-0.05605063,-0.03164429,-0.0931332
Edgar,1,Antebrazo,0.01,0,0.649315499437331,0.4353673493096304,-0.45512849544729683,3.263353585152475,-32.921809955977636,45.31699142263536,0.99306673,-0.05797288,-0.03480827,-0.09615682
Edgar,1,Antebrazo,0.02,0,0.5925395337320359,0.4252744335012414,-0.4767761620806757,10.985502553521899,-38.98453386467321,53.88599298167642,0.99036485,-0.09076963,-0.05882328,-0.08647642
Edgar,1,Antebrazo,0.03,0,0.5583864683268345,0.41519079765485306,-0.5109258170192985,19.364441195956925,-44.162672943293074,62.866879296704155,0.98941499,-0.09473135,-0.06346505,-0.08975725
Edgar,1,Antebrazo,0.04,0,0.5702438855881212,0.4062808654302732,-0.5639578340745326,29.02858654096155,-49.42851493664643,71.47944006895622,0.98828048,-0.09955928,-0.06899583,-0.09289359
Edgar,1,Antebrazo,0.05,0,0.6362298948358908,0.4002837761192382,-0.6352354888282262,40.692582583932094,-55.82881097049767,78.86885609738468,0.98693359,-0.10533347,-0.07515353,-0.09601583
Edgar,1,Antebrazo,0.06,0,0.7336009692526698,0.39708092842953707,-0.7124950416188117,54.67902571038269,-63.418519954710085,84.75806724841921,0.98532355,-0.11245929,-0.08164871,-0.09911571
Edgar,1,Antebrazo,0.07,0,0.8179432451553852,0.3931004693426597,-0.7748164557537766,70.36978480655208,-71.02158262775248,89.58884430184166,0.97793132,-0.15294912,-0.11213335,-0.08765336
Edgar,1,Antebrazo,0.08,0,0.8537604097845612,0.38446774874315914,-0.8038602465942415,86.11136525879047,-77.13638025835752,94.09453616260151,0.97517842,-0.16339102,-0.11908091,-0.09027801
Edgar,1,Antebrazo,0.09,0,0.8419272851760393,0.3738722118461274,-0.7965978639731011,99.86208636416845,-81.23633962457689,98.76818794305076,0.9720394,-0.17494875,-0.12662718,-0.09218527
Edgar,1,Antebrazo,0.1,0,0.8202172111906602,0.3738928653628399,-0.7695968528671012,110.24060094002442,-84.28039925597517,103.71447786560043,0.96847498,-0.18726544,-0.1348123,-0.09388065
Edgar,1,Antebrazo,0.11,0,0.8355153595487739,0.4007030443791622,-0.7501560447008843,117.21168427361133,-87.90292729090123,108.92090998021774,0.96455568,-0.19985391,-0.14341219,-0.09551884
Edgar,1,Antebrazo,0.12,0,0.909798248294695,0.46169353575222205,-0.7597565377308688,121.90904922468154,-92.93161901410838,114.54660649056183,0.95829099,-0.22138098,-0.1603093,-0.08348615
Edgar,1,Antebrazo,0.13,0,1.025619823390415,0.5482608776680425,-0.801382325664037,125.84602563098785,-98.5266110920415,120.86564899365987,0.95321679,-0.23550566,-0.16904634,-0.08566371
Edgar,1,Antebrazo,0.14,0,1.1391826386827695,0.6407319426202767,-0.858902699281064,130.24998805112216,-102.75540298550773,127.94465524542464,0.94757342,-0.25014782,-0.17833,-0.08791646
Edgar,1,Antebrazo,0.15,0,1.207844819981734,0.7199038521031051,-0.9078118450259769,135.98098346186032,-104.21884947821707,135.44177709380958,0.94131863,-0.26511309,-0.18840601,-0.09020776
Edgar,1,Antebrazo,0.16,0,1.2122068070444891,0.7733632957617919,-0.9298967072291121,143.78554722934967,-103.46033179084154,142.7249807032363,0.93441749,-0.28052759,-0.19920975,-0.09210642
Edgar,1,Antebrazo,0.17,0,1.1621083920996322,0.7924575047882105,-0.9231928969398366,154.25474894200264,-103.02835002611366,149.10629437355462,0.9326036,-0.28332517,-0.20197743,-0.09582549
Edgar,1,Antebrazo,0.18,0,1.0883486690414088,0.768646518370949,-0.9018304093434019,167.20352167508022,-106.01460823186112,153.93450692104287,0.9247483,-0.29968724,-0.21360551,-0.09695806
Edgar,1,Antebrazo,0.19,0,1.0274955835329098,0.6997131603540035,-0.8863182648241532,180.9620789437769,-113.91627645059485,156.6370680041671,0.91597712,-0.31708196,-0.2256712,-0.09755839
Edgar,1,Antebrazo,0.2,0,1.0066313955194637,0.6026480238366286,-0.890688125333114,192.4989108689199,-125.1702780935179,157.00326107852663,0.906183,-0.33588222,-0.23754284,-0.09792353
