student_id,sample_number,is_exito,sensor_name,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
Edgar,1,0,Antebrazo,0.36,0.56191152,-0.54707611,-1.50757098,167.78237915,-112.49658203,135.96273804,0.74177432,-0.5583396,-0.36876616,-0.0451606
Edgar,1,0,Antebrazo,0.37,0.60368615,-0.87304986,-1.68364561,156.9606781,-117.4187851,136.89453125,0.71741992,-0.58035564,-0.38114712,-0.05677071
Edgar,1,0,Antebrazo,0.38,0.72855741,-1.23361826,-1.86541772,146.66426086,-134.35830688,140.21470642,0.70266038,-0.59456414,-0.38643003,-0.0585996
Edgar,1,0,Antebrazo,0.39,0.73779583,-1.70600772,-2.08030725,141.70715332,-161.95967102,149.97782898,0.68666399,-0.61009943,-0.39044189,-0.06185846
Edgar,1,0,Antebrazo,0.4,0.60813397,-2.34888244,-2.21999502,139.13743591,-198.43792725,161.11138916,0.66895658,-0.62751395,-0.39279312,-0.0666106
Edgar,1,0,Antebrazo,0.41,0.48005223,-2.76131368,-2.31314898,143.49133301,-236.07322693,149.48550415,0.65002489,-0.64683044,-0.39246708,-0.07104647
Edgar,1,0,Antebrazo,0.42,0.22719871,-2.84733939,-2.4257915,167.4241333,-266.57525635,123.32142639,0.60470986,-0.67577082,-0.41344103,-0.08201393
Edgar,1,0,Antebrazo,0.43,-0.06451054,-2.86173368,-2.42122698,205.99200439,-312.91394043,91.70375061,0.58151108,-0.69936842,-0.40799221,-0.07919019
Edgar,1,0,Antebrazo,0.44,-0.27772006,-3.18669653,-2.1653862,243.99942017,-349.94641113,45.75087357,0.55657828,-0.7248677,-0.39959612,-0.07148711
Edgar,1,0,Antebrazo,0.45,-0.40434873,-3.94968033,-1.97688138,252.24897766,-356.0211792,-8.40919209,0.53252947,-0.74957967,-0.38856244,-0.05968309
Edgar,1,0,Antebrazo,0.46,-0.48516491,-4.15960646,-1.5208019,214.87191772,-292.06283569,-121.53782654,0.51648116,-0.76850408,-0.37538189,-0.04167981
Edgar,1,0,Antebrazo,0.47,-0.62122595,-3.31806517,-1.20165837,142.05511475,-160.13545227,-238.43144226,0.47865328,-0.7848407,-0.39260438,-0.02789543
Edgar,1,0,Antebrazo,0.48,-0.51003629,-2.69250369,-1.36015189,80.45822144,-68.55194092,-293.21282959,0.48392335,-0.7870242,-0.38262326,-0.00324622
Edgar,1,0,Antebrazo,0.49,0.3775115,-2.59123063,-1.3186723,15.96348286,18.40663528,-335.4838562,0.49687621,-0.78271699,-0.37418371,0.02132989
Edgar,1,0,Antebrazo,0.5,1.30278945,-2.59956551,-1.67051089,-60.93080139,78.13819885,-356.42602539,0.51638466,-0.77304274,-0.36584964,0.04365597
Edgar,1,0,Antebrazo,0.51,2.67971349,-2.01691198,-2.25135422,-145.72758484,69.66433716,-382.25836182,0.54098183,-0.76084346,-0.35277122,0.06331196
Edgar,1,0,Antebrazo,0.52,3.28777623,-0.50858557,-1.99405205,-251.64299011,172.30732727,-407.74969482,0.62044287,-0.72241706,-0.23878025,0.19012699
Edgar,1,0,Antebrazo,0.53,2.85232425,2.10633445,-1.69092405,-315.10147095,304.70718384,-389.8352356,0.65362638,-0.6877923,-0.2376212,0.20796777
Edgar,1,0,Antebrazo,0.54,2.1375978,7.024683,-0.18544354,-284.49710083,512.3223877,-212.06591797,0.68172002,-0.64803958,-0.25866085,0.21999371
Edgar,1,0,Antebrazo,0.55,1.72238755,7.64314175,-2.2652626,104.18617249,547.69342041,-81.16714478,0.68277925,-0.6230008,-0.29331443,0.24423191
Edgar,1,0,Antebrazo,0.56,-0.72941279,4.16072941,-1.9325031,263.08398438,403.34817505,15.66939163,0.66953659,-0.61254728,-0.32435149,0.26702559
Edgar,1,0,Antebrazo,0.57,-7.83024836,2.17232585,4.0450592,67.63430786,308.03491211,100.50154877,0.64815927,-0.26123571,-0.67890149,-0.22525142
Edgar,1,0,Antebrazo,0.58,-4.80842543,4.95183277,4.86446762,-31.13764954,473.63418579,-13.61161804,0.65665966,-0.22133675,-0.68570471,-0.22274905
Edgar,1,0,Antebrazo,0.59,-1.05572999,2.58313322,2.02531958,34.55685043,285.75238037,53.78961945,0.65701175,-0.19768369,-0.69408602,-0.21794799
Edgar,1,0,Antebrazo,0.6,0.15843832,-0.22992249,1.22802973,109.81082153,-136.13928223,281.27075195,0.63646007,-0.21000339,-0.71010387,-0.21580034
Edgar,1,0,Antebrazo,0.61,-2.84537673,1.12721312,0.38830301,103.99253082,-224.24208069,438.22402954,0.60356665,-0.22900994,-0.73202056,-0.21773326
Edgar,1,0,Antebrazo,0.62,-2.38729072,1.57948673,-1.07315481,140.42440796,-224.47006226,368.8772583,0.40070817,-0.82296365,-0.03126746,0.40147996
Edgar,1,0,Antebrazo,0.63,-2.11607075,0.31399763,-1.22637236,136.77320862,-77.42677307,340.58364868,0.38738838,-0.84053832,-0.0324695,0.37732127
Edgar,1,0,Antebrazo,0.64,-3.09802794,-0.522825,-0.24097769,65.04650879,214.45175171,276.64944458,0.3833192,-0.84888822,-0.05621761,0.35957593
Edgar,1,0,Antebrazo,0.65,-2.80359483,-0.46035799,0.73110592,6.4887476,445.27536011,94.45606995,0.38794652,-0.84457809,-0.09531336,0.35651207
Edgar,1,0,Antebrazo,0.66,-1.01249456,0.18947133,1.06202757,-9.41149902,520.65270996,-74.9675827,0.39591596,-0.83088577,-0.13731989,0.3660911
Edgar,1,0,Antebrazo,0.67,0.51788265,0.55963516,0.42653701,0.53961855,451.46237183,-124.15153503,0.60710377,-0.47512987,-0.62809932,0.10567831
Edgar,1,0,Antebrazo,0.68,0.93157256,0.26173466,-0.4444764,17.1922226,299.34689331,-98.30003357,0.61301893,-0.45138675,-0.63854527,0.11277264
Edgar,1,0,Antebrazo,0.69,0.9052254,-0.30600607,-0.77351707,22.44045639,84.46367645,-72.18708801,0.61647308,-0.44375792,-0.63963586,0.11792311
Edgar,1,0,Antebrazo,0.7,0.93778127,-0.5322144,-0.61791623,12.16880417,-52.23823166,-62.64331818,0.6195057,-0.44613507,-0.63444149,0.12107982
Edgar,1,0,Antebrazo,0.71,0.79588163,-0.26066601,-0.80803812,-1.01237023,-137.96183777,-26.43458176,0.62078798,-0.45540926,-0.6265288,0.12118771
Edgar,1,0,Antebrazo,0.72,0.60466671,-0.06897116,-0.86265683,11.87555885,-180.16931152,6.32583952,0.655644,-0.51203001,-0.54469949,0.10610722
Edgar,1,0,Antebrazo,0.73,0.05329638,-0.27591607,-1.0385493,30.11825752,-196.35124207,4.97181559,0.65258604,-0.52606785,-0.53500158,0.10562921
Edgar,1,0,Antebrazo,0.74,-0.3710956,-0.33641884,-1.24178696,41.74484253,-194.35684204,-27.00861168,0.65041661,-0.53932899,-0.52394426,0.10754059
Edgar,1,0,Antebrazo,0.75,-0.31764346,-0.3604342,-1.10557759,47.33038712,-141.34954834,-45.86611176,0.64922172,-0.5486359,-0.51487666,0.11140858
Edgar,1,0,Antebrazo,0.76,0.1382259,-0.74806798,-0.8989259,50.71447372,-69.4072876,-37.90254211,0.64807302,-0.55342078,-0.51017278,0.11597712
Edgar,1,0,Antebrazo,0.77,0.71693116,-0.99316967,-0.81639093,44.7242775,-2.36768627,-19.806427,0.64685607,-0.55862617,-0.50570738,0.11736365
Edgar,1,0,Antebrazo,0.78,0.92010283,-0.95192599,-0.82881862,25.45132637,43.71584702,-9.24394226,0.646514,-0.556153,-0.50821686,0.12012158
Edgar,1,0,Antebrazo,0.79,0.93892008,-0.6034317,-0.58379376,10.73629665,52.69652176,-17.95613289,0.64733011,-0.55254805,-0.51055193,0.12243817
Edgar,1,0,Antebrazo,0.8,1.16333008,-0.35194144,-0.31208813,12.9426527,41.26175308,-35.74781036,0.64877021,-0.54929477,-0.5114457,0.12568121
