student_id,sample_number,frame_number,timestamp_ms,joint_id,x_px,y_px,z_m
DianaItzel,01,20,1003,0,553,208,9.95300006866455
DianaItzel,01,20,1003,11,563,223,10.260000228881836
DianaItzel,01,20,1003,12,543,225,10.155000686645508
DianaItzel,01,20,1003,13,570,240,10.366000175476074
DianaItzel,01,20,1003,14,539,244,10.003000259399414
DianaItzel,01,20,1003,15,569,253,10.756000518798828
DianaItzel,01,20,1003,16,542,257,10.366000175476074
DianaItzel,01,20,1003,23,566,256,10.585000038146973
DianaItzel,01,20,1003,24,555,259,10.053000450134277
DianaItzel,01,20,1003,25,564,284,10.366000175476074
DianaItzel,01,20,1003,26,555,280,10.312000274658203
DianaItzel,01,20,1003,27,562,304,10.585000038146973
DianaItzel,01,20,1003,28,554,302,10.530000686645508
DianaItzel,01,20,1003,29,562,306,10.585000038146973
DianaItzel,01,20,1003,30,555,305,10.642000198364258
DianaItzel,01,20,1003,31,562,312,10.530000686645508
DianaItzel,01,20,1003,32,553,312,10.474000930786133
DianaItzel,01,21,1038,0,553,208,9.855000495910645
DianaItzel,01,21,1038,11,565,223,10.474000930786133
DianaItzel,01,21,1038,12,543,225,9.527000427246094
DianaItzel,01,21,1038,13,572,240,10.642000198364258
DianaItzel,01,21,1038,14,538,243,10.053000450134277
DianaItzel,01,21,1038,15,570,254,10.873000144958496
DianaItzel,01,21,1038,16,541,257,10.420000076293945
DianaItzel,01,21,1038,23,564,257,10.474000930786133
DianaItzel,01,21,1038,24,551,258,9.904000282287598
DianaItzel,01,21,1038,25,564,283,10.053000450134277
DianaItzel,01,21,1038,26,553,280,10.366000175476074
DianaItzel,01,21,1038,27,563,305,10.585000038146973
DianaItzel,01,21,1038,28,553,302,10.530000686645508
DianaItzel,01,21,1038,29,562,308,10.585000038146973
DianaItzel,01,21,1038,30,554,306,10.69800090789795
DianaItzel,01,21,1038,31,563,314,10.585000038146973
DianaItzel,01,21,1038,32,552,312,10.474000930786133
DianaItzel,01,22,1077,0,553,208,9.95300006866455
DianaItzel,01,22,1077,11,565,222,10.69800090789795
DianaItzel,01,22,1077,12,543,225,10.642000198364258
DianaItzel,01,22,1077,13,572,239,10.756000518798828
DianaItzel,01,22,1077,14,538,242,10.207000732421875
DianaItzel,01,22,1077,15,571,253,11.053000450134277
DianaItzel,01,22,1077,16,540,257,10.814000129699707
DianaItzel,01,22,1077,23,563,259,10.530000686645508
DianaItzel,01,22,1077,24,550,260,10.053000450134277
DianaItzel,01,22,1077,25,564,282,10.260000228881836
DianaItzel,01,22,1077,26,552,280,10.530000686645508
