student_id,sample_number,frame_number,timestamp_ms,joint_id,x_px,y_px,z_m
DianaItzel,1,51,2009,0,557,214,9.177000045776367
DianaItzel,1,51,2009,11,569,229,10.474000930786133
DianaItzel,1,51,2009,12,548,228,10.474000930786133
DianaItzel,1,51,2009,13,574,245,10.003000259399414
DianaItzel,1,51,2009,14,542,245,9.665000915527344
DianaItzel,1,51,2009,15,575,258,10.366000175476074
DianaItzel,1,51,2009,16,542,261,10.003000259399414
DianaItzel,1,51,2009,23,565,260,10.312000274658203
DianaItzel,1,51,2009,24,553,261,9.618000030517578
DianaItzel,1,51,2009,25,566,286,9.482000350952148
DianaItzel,1,51,2009,26,553,284,9.904000282287598
DianaItzel,1,51,2009,27,569,309,10.003000259399414
DianaItzel,1,51,2009,28,553,304,10.873000144958496
DianaItzel,1,51,2009,29,568,313,10.155000686645508
DianaItzel,1,51,2009,30,554,306,10.873000144958496
DianaItzel,1,51,2009,31,570,316,10.260000228881836
DianaItzel,1,51,2009,32,551,311,10.420000076293944
DianaItzel,1,52,2038,0,558,214,9.177000045776367
DianaItzel,1,52,2038,11,571,229,10.474000930786133
DianaItzel,1,52,2038,12,549,229,9.527000427246094
DianaItzel,1,52,2038,13,575,247,10.104000091552734
DianaItzel,1,52,2038,14,542,245,9.393000602722168
DianaItzel,1,52,2038,15,576,261,9.807000160217283
DianaItzel,1,52,2038,16,543,261,9.26200008392334
DianaItzel,1,52,2038,23,566,261,9.95300006866455
DianaItzel,1,52,2038,24,553,261,9.482000350952148
DianaItzel,1,52,2038,25,567,287,9.712000846862791
DianaItzel,1,52,2038,26,554,285,10.155000686645508
DianaItzel,1,52,2038,27,569,310,10.003000259399414
DianaItzel,1,52,2038,28,553,305,10.69800090789795
DianaItzel,1,52,2038,29,568,313,10.104000091552734
DianaItzel,1,52,2038,30,553,308,10.642000198364258
DianaItzel,1,52,2038,31,570,317,10.207000732421877
DianaItzel,1,52,2038,32,551,312,10.260000228881836
DianaItzel,1,53,2072,0,559,214,9.30500030517578
DianaItzel,1,53,2072,11,572,229,10.474000930786133
DianaItzel,1,53,2072,12,550,228,9.855000495910645
DianaItzel,1,53,2072,13,575,246,10.155000686645508
DianaItzel,1,53,2072,14,543,245,9.665000915527344
DianaItzel,1,53,2072,15,577,260,10.312000274658203
DianaItzel,1,53,2072,16,543,261,9.482000350952148
DianaItzel,1,53,2072,23,566,261,10.207000732421877
DianaItzel,1,53,2072,24,554,261,9.437000274658203
DianaItzel,1,53,2072,25,567,287,9.712000846862791
DianaItzel,1,53,2072,26,554,286,10.155000686645508
DianaItzel,1,53,2072,27,569,310,10.053000450134276
DianaItzel,1,53,2072,28,553,305,10.585000038146973
DianaItzel,1,53,2072,29,568,313,10.053000450134276
DianaItzel,1,53,2072,30,553,307,10.69800090789795
DianaItzel,1,53,2072,31,570,317,10.104000091552734
DianaItzel,1,53,2072,32,551,312,10.260000228881836
DianaItzel,1,54,2105,0,559,214,9.26200008392334
DianaItzel,1,54,2105,11,573,229,9.855000495910645
DianaItzel,1,54,2105,12,550,228,9.01200008392334
